,0
1266,825293
1267,1442641
1268,1385702
1269,1661532
1270,1596510
1271,1372270
1272,1569119
1273,1666606
1274,1561089
1275,720672
1276,1034546
1277,1665883
1278,1365324
1279,1352900
1280,1509973
1281,1600307
1282,1483226
1283,1568679
1284,912938
1285,811360
1286,1251962
1287,1505896
1288,1412741
1289,1009950
1290,1428601
1291,1008871
1292,1207017
1293,21175
1294,938759
1295,1352278
1296,1610946
1297,765443
1298,1507640
1299,1512251
1300,887762
1301,1544825
1302,1336098
1303,1568541
1304,1385011
1305,1350605
1306,1617516
1307,1478861
1308,1651646
1309,1596957
1310,1313597
1311,1035350
1312,1026720
1313,1110806
1314,947822
1315,1512237
1316,1569766
1317,1604350
1318,1606430
1319,1550172
1320,928568
1321,1597858
1322,1541901
1323,1583751
1324,1535679
1325,1626140
1326,1555486
1327,1293585
1328,1409765
1329,1134007
1330,1500605
1331,1125816
1332,1484540
1333,1540726
1334,1569709
1335,852933
1336,1103653
1337,1041283
1338,1399386
1339,1191672
1340,1662906
1341,1441843
1342,1053914
1343,1614704
1344,1219573
1345,1575301
1346,1527824
1347,1163603
1348,1163744
1349,1389875
1350,1469026
1351,1463217
1352,1574886
1353,1056488
1354,937589
1355,1535477
1356,1362178
1357,861176
1358,1318757
1359,1219037
1360,1420473
1361,1096783
1362,1358706
1363,1542383
1364,898358
1365,1558313
1366,1590656
1367,1043853
1368,1605949
1369,1178653
1370,918006
1371,1034550
1372,1411268
1373,1512020
1374,1050743
1375,1658363
1376,1645889
1377,1519921
1378,1434819
1379,1602905
1380,1126735
1381,1592179
1382,1136704
1383,1582844
1384,1537703
1385,1569139
1386,812295
1387,1598186
1388,1179232
1389,860645
1390,1277557
1391,1401561
1392,1531064
1393,1062938
1394,1502149
1395,922940
1396,1512026
1397,1598550
1398,1459270
1399,1353219
1400,1603328
1401,1389059
1402,1080366
1403,1265376
1404,1569758
1405,313807
1406,1179475
1407,883948
1408,1567890
1409,764611
1410,1356783
1411,1018674
1412,1169581
1413,1574717
1414,1633207
1415,1623883
1416,1512581
1417,884541
1418,1632422
1419,1361978
1420,1586052
1421,36270
1422,1512647
1423,1387303
1424,1080107
1425,1123798
1426,1095721
1427,1425419
1428,1165830
1429,1599731
1430,354204
1431,1599814
1432,1422849
1433,320335
1434,1353198
1435,1561790
1436,1476961
1437,1349353
1438,937567
1439,1332905
1440,1082327
1441,1288125
1442,1599212
1443,1169069
1444,1483467
